transaction_id,date,description,amount,bank_ref
LED0000,2026-08-10,Jones PLC,-46748.6,BNK68008
LED0001,2026-07-18,Vendor payment,-20982.6,BNK81810
LED0002,2026-08-17,Rhodes-Gomez,37970.93,BNK68991
LED0003,2026-08-27,AWS invoice,-38697.95,BNK78327
LED0004,2026-07-28,Silva and Sons,-46126.36,BNK47450
LED0005,2026-07-14,Vendor payment,15696.19,BNK20561
LED0006,2026-07-02,AWS invoice,-24151.11,BNK38043
LED0007,2026-08-11,Client payment received,20842.39,BNK64496
LED0008,2026-07-15,Office rent,26604.54,BNK86556
LED0008,2026-07-15,Office rent,26604.54,BNK85456
LED0009,2026-08-21,White Ltd,48644.96,BNK10772
LED0010,2026-07-11,Client payment received,4939.87,BNK64921
LED0011,2026-07-18,Vendor payment,-22009.21,BNK38906
LED0012,2026-08-18,Salary payout,-36712.66,BNK60968
LED0013,2026-07-25,Dixon-Lloyd,-3332.68,BNK31632
LED0014,2026-07-25,AWS invoice,-15612.29,BNK80008
LED0015,2026-07-03,Client payment received,9725.23,BNK21003
LED0016,2026-07-08,Office rent,-39755.97,BNK16590
LED0017,2026-07-19,Client payment received,30407.57,BNK54236
LED0018,2026-08-25,Salary payout,25055.78,BNK65255
LED0020,2026-07-15,Salary payout,78078.8,BNK55870
LED0021,2026-08-24,Vendor payment,62642.88,BNK15276
LED0022,2026-07-25,Salary payout,8943.34,BNK12671
LED0023,2026-08-23,Salary payout,-28854.97,BNK24993
LED0024,2026-07-23,Vendor payment,37122.77,BNK58351
LED0025,2026-08-14,Client payment received,34244.6,BNK25012
LED0026,2026-08-10,Client payment received,-27751.98,BNK85849
LED0027,2026-08-16,Vendor payment,-28757.68,BNK59192
LED0028,2026-07-25,Salary payout,78638.04,BNK92213
LED0029,2026-08-10,Client payment received,22403.47,BNK99687
LED0030,2026-08-13,Salary payout,59570.75,BNK15383
LED0031,2026-08-19,Davila-Roach,-20223.75,BNK76317
LED0031,2026-08-19,Davila-Roach,-20223.75,BNK65057
LED0032,2026-07-03,Salary payout,2151.42,BNK23833
LED0033,2026-07-05,Vendor payment,68707.7,BNK70258
LED0034,2026-08-06,Client payment received,-9091.88,BNK95256
LED0035,2026-08-11,Office rent,1432.15,BNK73372
LED0036,2026-08-28,Client payment received,9650.74,BNK52245
LED0037,2026-07-17,Vendor payment,-17938.42,BNK69087
LED0038,2026-08-05,AWS invoice,-15843.59,BNK59674
LED0039,2026-08-07,Office rent,66716.97,BNK73904
LED0040,2026-07-26,Salary payout,-21488.3,BNK88139
LED0042,2026-08-18,"Hebert, Armstrong and Ramirez",61943.38,BNK21221
LED0043,2026-07-10,Client payment received,-29202.34,BNK41499
LED0044,2026-08-13,Office rent,27533.17,BNK12260
LED0045,2026-07-25,Office rent,27465.5,BNK50135
LED0046,2026-07-30,AWS invoice,-17316.16,BNK55056
LED0047,2026-08-05,Valencia-Collins,38436.84,BNK69473
LED0048,2026-07-08,Client payment received,65022.5,BNK35242
LED0049,2026-08-18,Salary payout,49917.84,BNK34267
LED0050,2026-07-22,Shaw and Sons,-11844.98,BNK87278
LED0051,2026-07-11,Office rent,-49578.11,BNK23176
LED0052,2026-08-17,Client payment received,-15759.42,BNK49618
LED0053,2026-08-02,Vendor payment,15998.62,BNK82529
LED0054,2026-07-07,Client payment received,-11202.18,BNK74340
LED0054,2026-07-07,Client payment received,-11202.18,BNK47268
LED0055,2026-08-10,AWS invoice,29166.13,BNK67733
LED0056,2026-07-10,Salary payout,49126.4,BNK72616
LED0057,2026-08-04,AWS invoice,69404.15,BNK85631
LED0058,2026-08-08,Salary payout,13518.74,BNK83772
LED0059,2026-07-08,Salary payout,64233.84,BNK83147
LED0060,2026-08-23,Salary payout,-18871.2,BNK39581
LED0061,2026-07-16,AWS invoice,73103.43,BNK48974
LED0062,2026-07-06,Client payment received,13178.76,BNK91399
LED0063,2026-07-05,AWS invoice,49558.48,BNK37235
LED0064,2026-07-09,Client payment received,11786.71,BNK41439
LED0066,2026-08-25,AWS invoice,5007.93,BNK87832
LED0067,2026-07-14,AWS invoice,48184.48,BNK47056
LED0068,2026-08-14,Vendor payment,42683.37,BNK44675
LED0069,2026-07-26,Client payment received,34484.15,BNK35928
LED0070,2026-07-29,AWS invoice,8693.2,BNK44816
LED0071,2026-07-16,Vendor payment,-41676.63,BNK50319
LED0072,2026-07-02,AWS invoice,22009.8,BNK67560
LED0073,2026-08-07,Vendor payment,-49065.19,BNK45683
LED0074,2026-08-15,Client payment received,-42346.41,BNK15224
LED0075,2026-07-05,Gonzales and Sons,61752.6,BNK13390
LED0076,2026-07-05,AWS invoice,-19059.4,BNK85392
LED0076,2026-07-05,AWS invoice,-19059.4,BNK98117
LED0077,2026-08-13,Office rent,-22149.22,BNK85529
LED0078,2026-07-09,Client payment received,71616.85,BNK46458
LED0079,2026-08-06,AWS invoice,11447.23,BNK74451
LED0080,2026-08-20,Office rent,54974.61,BNK52081
LED0081,2026-07-13,"Huff, Johnson and Fuller",-37398.99,BNK74942
LED0082,2026-07-29,Salary payout,5065.22,BNK82102
LED0083,2026-07-30,Client payment received,-42957.75,BNK62976
LED0085,2026-07-26,Client payment received,-5890.66,BNK70552
LED0086,2026-08-25,Singh Inc,-17674.68,BNK75338
LED0087,2026-07-13,AWS invoice,8319.76,BNK81987
LED0088,2026-07-28,Vendor payment,-13789.13,BNK73532
LED0089,2026-07-16,Bennett-Fernandez,7607.0,BNK41365
LED0091,2026-08-11,AWS invoice,58683.59,BNK39451
LED0092,2026-07-06,Vendor payment,-28379.56,BNK25396
LED0093,2026-08-01,Office rent,-22212.85,BNK48254
LED0094,2026-07-26,"Clark, Bass and Liu",-28597.17,BNK71894
LED0095,2026-07-01,Office rent,-15523.6,BNK88561
LED0096,2026-08-20,Office rent,-12917.6,BNK46208
LED0097,2026-08-14,Client payment received,79404.95,BNK76550
LED0097,2026-08-14,Client payment received,79404.95,BNK49132
LED0098,2026-08-05,Client payment received,43393.08,BNK86011
LED0099,2026-07-10,Vendor payment,-11427.98,BNK80592
LED0100,2026-07-04,AWS invoice,45645.83,BNK59441
LED0101,2026-07-04,Client payment received,-9231.37,BNK41300
LED0102,2026-07-04,AWS invoice,11982.51,BNK15720
LED0103,2026-08-28,AWS invoice,-29533.75,BNK59968
LED0104,2026-08-02,Mccoy LLC,60674.53,BNK29936
LED0105,2026-07-05,AWS invoice,-41165.09,BNK87356
LED0106,2026-08-25,Vendor payment,2490.82,BNK23069
LED0107,2026-08-30,AWS invoice,-17992.0,BNK63736
LED0108,2026-08-08,Garcia Inc,30519.6,BNK44737
LED0109,2026-07-27,Client payment received,25877.4,BNK53065
LED0110,2026-08-03,Salary payout,71511.81,BNK51505
LED0111,2026-07-15,Client payment received,43104.93,BNK80912
LED0112,2026-07-16,Salary payout,1452.16,BNK47667
LED0113,2026-08-12,Client payment received,-11000.38,BNK22903
LED0114,2026-07-21,"Carey, Willis and Arroyo",-48788.99,BNK31805
LED0116,2026-07-05,AWS invoice,-22289.94,BNK48452
LED0117,2026-07-17,Vendor payment,71323.72,BNK64008
LED0118,2026-08-26,Morales-Young,64305.13,BNK20350
LED0119,2026-07-24,Salary payout,-29492.91,BNK75230
LED0120,2026-08-23,AWS invoice,41460.19,BNK43289
LED0121,2026-08-09,Client payment received,18762.29,BNK70981
LED0122,2026-08-12,AWS invoice,-11080.76,BNK67898
LED0123,2026-08-12,"Miller, Williams and Schroeder",72060.9,BNK65615
LED0124,2026-07-09,Salary payout,-34994.27,BNK60422
LED0125,2026-07-07,Client payment received,21919.07,BNK57049
LED0126,2026-07-18,Salary payout,28627.88,BNK96275
LED0126,2026-07-18,Salary payout,28627.88,BNK99889
LED0127,2026-08-15,Salary payout,-23532.35,BNK16428
LED0128,2026-08-10,Salary payout,15703.18,BNK47512
LED0129,2026-07-17,Good LLC,-38001.2,BNK38705
LED0130,2026-07-28,Salary payout,-44268.72,BNK96400
LED0131,2026-07-22,Vendor payment,32824.74,BNK92242
LED0132,2026-07-17,Vendor payment,46360.02,BNK85965
LED0133,2026-08-05,Client payment received,5599.3,BNK52823
LED0134,2026-07-01,Wilson PLC,-40218.3,BNK80701
LED0135,2026-08-26,Client payment received,67510.71,BNK45720
LED0136,2026-08-04,"Rodriguez, Shaw and Ruiz",58497.35,BNK73156
LED0137,2026-08-07,AWS invoice,-30747.81,BNK25095
LED0138,2026-07-09,Henderson Inc,-9926.41,BNK39571
LED0139,2026-08-27,Koch-Holden,66860.2,BNK83048
LED0141,2026-07-07,Salary payout,51415.11,BNK69609
LED0142,2026-08-26,Office rent,76598.81,BNK59941
LED0143,2026-08-17,Vendor payment,70349.3,BNK40647
LED0144,2026-07-16,Vendor payment,76906.78,BNK52992
LED0145,2026-08-21,Vendor payment,64584.11,BNK70852
LED0146,2026-07-03,Vendor payment,45753.38,BNK28320
LED0147,2026-07-22,Office rent,54290.57,BNK22739
LED0148,2026-08-25,Client payment received,55397.41,BNK58629
LED0149,2026-07-18,Vendor payment,52358.69,BNK64935
LED0150,2026-07-07,Office rent,63381.68,BNK95841
LED0151,2026-08-26,Office rent,-21083.62,BNK46666
LED0152,2026-08-22,Office rent,-4544.4,BNK40947
LED0153,2026-08-22,Vendor payment,-21019.94,BNK81364
LED0154,2026-08-12,Vendor payment,1800.58,BNK46160
LED0155,2026-07-18,Bernard-Boyer,75695.58,BNK69600
LED0156,2026-07-18,Salary payout,33392.63,BNK12799
LED0157,2026-07-26,Client payment received,77549.46,BNK84000
LED0158,2026-08-04,Salary payout,72100.83,BNK86858
LED0159,2026-07-08,Salary payout,-26786.18,BNK29340
LED0160,2026-07-17,Brown Ltd,-35907.67,BNK28964
LED0161,2026-07-28,Salary payout,44710.86,BNK24408
LED0161,2026-07-28,Salary payout,44710.86,BNK11947
LED0162,2026-07-21,Office rent,28807.15,BNK41186
LED0162,2026-07-21,Office rent,28807.15,BNK44782
LED0163,2026-08-02,"Jacobson, Monroe and Crane",75.41,BNK65176
LED0164,2026-08-06,Vendor payment,-16886.07,BNK57453
LED0165,2026-08-17,Office rent,-49780.13,BNK90623
LED0166,2026-08-29,AWS invoice,39291.43,BNK17972
LED0167,2026-08-30,Client payment received,45814.9,BNK24150
LED0168,2026-07-13,Salary payout,6068.66,BNK20589
LED0169,2026-08-30,Client payment received,69700.21,BNK91830
LED0170,2026-08-09,Salary payout,36240.37,BNK88301
LED0171,2026-07-08,Client payment received,67006.09,BNK22999
LED0172,2026-08-02,Salary payout,36696.08,BNK82264
LED0173,2026-07-21,Office rent,40637.09,BNK39949
LED0174,2026-08-05,Vendor payment,-25060.79,BNK22463
LED0175,2026-08-12,Office rent,38051.33,BNK30006
LED0176,2026-08-27,Vendor payment,30016.94,BNK21188
LED0177,2026-07-20,Office rent,21231.84,BNK27054
LED0178,2026-07-01,Salary payout,-12701.22,BNK53207
LED0179,2026-07-28,AWS invoice,28866.0,BNK65435
LED0180,2026-07-21,Office rent,7432.18,BNK88696
LED0181,2026-08-13,Vendor payment,16452.62,BNK30280
LED0182,2026-08-20,Client payment received,-27940.12,BNK82910
LED0183,2026-07-06,Salary payout,17008.76,BNK66244
LED0184,2026-08-10,AWS invoice,-6425.53,BNK90422
