transaction_id,date,description,amount
LED0000,2026-08-10,Jones PLC,-46748.6
LED0001,2026-07-18,Vendor payment,-20982.6
LED0002,2026-08-17,Rhodes-Gomez,37970.93
LED0003,2026-08-27,AWS invoice,-38697.95
LED0004,2026-07-28,Silva and Sons,-46126.36
LED0005,2026-07-14,Vendor payment,15696.19
LED0006,2026-07-02,AWS invoice,-24151.11
LED0007,2026-08-11,Client payment received,20842.39
LED0008,2026-07-15,Office rent,26604.54
LED0009,2026-08-21,White Ltd,48644.96
LED0010,2026-07-11,Client payment received,4939.87
LED0011,2026-07-18,Vendor payment,-22009.21
LED0012,2026-08-18,Salary payout,-36712.66
LED0013,2026-07-25,Dixon-Lloyd,-3332.68
LED0014,2026-07-23,AWS invoice,-15612.29
LED0015,2026-07-03,Client payment received,9725.23
LED0016,2026-07-08,Office rent,-39755.97
LED0017,2026-07-19,Client payment received,30407.57
LED0018,2026-08-25,Salary payout,25055.78
LED0019,2026-08-15,"Liu, Moyer and Newman",-44042.83
LED0020,2026-07-15,Salary payout,78078.8
LED0021,2026-08-24,Vendor payment,62642.88
LED0022,2026-07-25,Salary payout,8943.34
LED0023,2026-08-23,Salary payout,-28854.97
LED0024,2026-07-23,Vendor payment,37122.77
LED0025,2026-08-14,Client payment received,34244.6
LED0026,2026-08-08,Client payment received,-27751.98
LED0027,2026-08-16,Vendor payment,-28757.68
LED0028,2026-07-25,Salary payout,78638.04
LED0029,2026-08-10,Client payment received,22403.47
LED0030,2026-08-13,Salary payout,59570.75
LED0031,2026-08-19,Davila-Roach,-20223.75
LED0032,2026-07-03,Salary payout,2151.42
LED0033,2026-07-05,Vendor payment,68707.7
LED0034,2026-08-06,Client payment received,-9091.88
LED0035,2026-08-11,Office rent,1432.15
LED0036,2026-08-28,Client payment received,9650.74
LED0037,2026-07-17,Vendor payment,-17938.42
LED0038,2026-08-05,AWS invoice,-15843.59
LED0039,2026-08-07,Office rent,66716.97
LED0040,2026-07-26,Salary payout,-21488.3
LED0041,2026-07-09,AWS invoice,14157.06
LED0042,2026-08-18,"Hebert, Armstrong and Ramirez",61943.38
LED0043,2026-07-10,Client payment received,-29202.34
LED0044,2026-08-13,Office rent,27533.17
LED0045,2026-07-25,Office rent,27465.5
LED0046,2026-07-30,AWS invoice,-17316.16
LED0047,2026-08-05,Valencia-Collins,38436.84
LED0048,2026-07-08,Client payment received,65022.5
LED0049,2026-08-18,Salary payout,49917.84
LED0050,2026-07-22,Shaw and Sons,-11844.98
LED0051,2026-07-11,Office rent,-49578.11
LED0052,2026-08-16,Client payment received,-15759.42
LED0053,2026-08-02,Vendor payment,15998.62
LED0054,2026-07-07,Client payment received,-11202.18
LED0055,2026-08-10,AWS invoice,29166.13
LED0056,2026-07-10,Salary payout,49126.4
LED0057,2026-08-04,AWS invoice,69404.15
LED0058,2026-08-08,Salary payout,13518.74
